Run,RunName,WIND_DIRECTION,RELEASE_ALT,RELEASE_MASS,MASS_MEAN_DIAMETER,Fatalities
1,Run_1,100,0,1000,0.00001,14
2,Run_2,100,0,1000,0.00002,14
3,Run_3,100,0,1000,0.00004,15
4,Run_4,100,0,1000,0.00006,16
5,Run_5,100,0,1000,0.00008,16
6,Run_6,100,0,1000,0.0001,16
7,Run_7,100,0,1200,0.00001,16
8,Run_8,100,0,1200,0.00002,17
9,Run_9,100,0,1200,0.00004,18
10,Run_10,100,0,1200,0.00006,18
11,Run_11,100,0,1200,0.00008,19
12,Run_12,100,0,1200,0.0001,20
13,Run_13,100,0,1400,0.00001,20
14,Run_14,100,0,1400,0.00002,20
15,Run_15,100,0,1400,0.00004,20
16,Run_16,100,0,1400,0.00006,21
17,Run_17,100,0,1400,0.00008,22
18,Run_18,100,0,1400,0.0001,22
19,Run_19,100,0,1600,0.00001,22
20,Run_20,100,0,1600,0.00002,22
21,Run_21,100,0,1600,0.00004,23
22,Run_22,100,0,1600,0.00006,24
23,Run_23,100,0,1600,0.00008,24
24,Run_24,100,0,1600,0.0001,24
25,Run_25,100,0,1800,0.00001,24
26,Run_26,100,0,1800,0.00002,24
27,Run_27,100,0,1800,0.00004,25
28,Run_28,100,0,1800,0.00006,26
29,Run_29,100,0,1800,0.00008,26
30,Run_30,100,0,1800,0.0001,26
31,Run_31,100,0,2000,0.00001,26
32,Run_32,100,0,2000,0.00002,26
33,Run_33,100,0,2000,0.00004,27
34,Run_34,100,0,2000,0.00006,28
35,Run_35,100,0,2000,0.00008,29
36,Run_36,100,0,2000,0.0001,30
37,Run_37,100,20,1000,0.00001,22
38,Run_38,100,20,1000,0.00002,22
39,Run_39,100,20,1000,0.00004,22
40,Run_40,100,20,1000,0.00006,22
41,Run_41,100,20,1000,0.00008,23
42,Run_42,100,20,1000,0.0001,24
43,Run_43,100,20,1200,0.00001,26
44,Run_44,100,20,1200,0.00002,26
45,Run_45,100,20,1200,0.00004,26
46,Run_46,100,20,1200,0.00006,26
47,Run_47,100,20,1200,0.00008,26
48,Run_48,100,20,1200,0.0001,27
49,Run_49,100,20,1400,0.00001,31
50,Run_50,100,20,1400,0.00002,31
51,Run_51,100,20,1400,0.00004,30
52,Run_52,100,20,1400,0.00006,30
53,Run_53,100,20,1400,0.00008,30
54,Run_54,100,20,1400,0.0001,30
55,Run_55,100,20,1600,0.00001,34
56,Run_56,100,20,1600,0.00002,34
57,Run_57,100,20,1600,0.00004,34
58,Run_58,100,20,1600,0.00006,34
59,Run_59,100,20,1600,0.00008,34
60,Run_60,100,20,1600,0.0001,34
61,Run_61,100,20,1800,0.00001,39
62,Run_62,100,20,1800,0.00002,39
63,Run_63,100,20,1800,0.00004,38
64,Run_64,100,20,1800,0.00006,38
65,Run_65,100,20,1800,0.00008,38
66,Run_66,100,20,1800,0.0001,38
67,Run_67,100,20,2000,0.00001,43
68,Run_68,100,20,2000,0.00002,44
69,Run_69,100,20,2000,0.00004,42
70,Run_70,100,20,2000,0.00006,42
71,Run_71,100,20,2000,0.00008,42
72,Run_72,100,20,2000,0.0001,42
73,Run_73,100,40,1000,0.00001,32
74,Run_74,100,40,1000,0.00002,32
75,Run_75,100,40,1000,0.00004,32
76,Run_76,100,40,1000,0.00006,32
77,Run_77,100,40,1000,0.00008,30
78,Run_78,100,40,1000,0.0001,30
79,Run_79,100,40,1200,0.00001,37
80,Run_80,100,40,1200,0.00002,37
81,Run_81,100,40,1200,0.00004,38
82,Run_82,100,40,1200,0.00006,36
83,Run_83,100,40,1200,0.00008,36
84,Run_84,100,40,1200,0.0001,36
85,Run_85,100,40,1400,0.00001,45
86,Run_86,100,40,1400,0.00002,46
87,Run_87,100,40,1400,0.00004,46
88,Run_88,100,40,1400,0.00006,44
89,Run_89,100,40,1400,0.00008,42
90,Run_90,100,40,1400,0.0001,42
91,Run_91,100,40,1600,0.00001,54
92,Run_92,100,40,1600,0.00002,54
93,Run_93,100,40,1600,0.00004,53
94,Run_94,100,40,1600,0.00006,52
95,Run_95,100,40,1600,0.00008,50
96,Run_96,100,40,1600,0.0001,47
97,Run_97,100,40,1800,0.00001,83
98,Run_98,100,40,1800,0.00002,78
99,Run_99,100,40,1800,0.00004,70
100,Run_100,100,40,1800,0.00006,66
101,Run_101,100,40,1800,0.00008,60
102,Run_102,100,40,1800,0.0001,55
103,Run_103,100,40,2000,0.00001,129
104,Run_104,100,40,2000,0.00002,138
105,Run_105,100,40,2000,0.00004,126
106,Run_106,100,40,2000,0.00006,110
107,Run_107,100,40,2000,0.00008,98
108,Run_108,100,40,2000,0.0001,90
109,Run_109,100,80,1000,0.00001,48
110,Run_110,100,80,1000,0.00002,59
111,Run_111,100,80,1000,0.00004,52
112,Run_112,100,80,1000,0.00006,38
113,Run_113,100,80,1000,0.00008,29
114,Run_114,100,80,1000,0.0001,26
115,Run_115,100,80,1200,0.00001,115
116,Run_116,100,80,1200,0.00002,136
117,Run_117,100,80,1200,0.00004,130
118,Run_118,100,80,1200,0.00006,112
119,Run_119,100,80,1200,0.00008,79
120,Run_120,100,80,1200,0.0001,62
121,Run_121,100,80,1400,0.00001,246
122,Run_122,100,80,1400,0.00002,268
123,Run_123,100,80,1400,0.00004,252
124,Run_124,100,80,1400,0.00006,224
125,Run_125,100,80,1400,0.00008,184
126,Run_126,100,80,1400,0.0001,144
127,Run_127,100,80,1600,0.00001,332
128,Run_128,100,80,1600,0.00002,336
129,Run_129,100,80,1600,0.00004,328
130,Run_130,100,80,1600,0.00006,312
131,Run_131,100,80,1600,0.00008,278
132,Run_132,100,80,1600,0.0001,243
133,Run_133,100,80,1800,0.00001,421
134,Run_134,100,80,1800,0.00002,406
135,Run_135,100,80,1800,0.00004,396
136,Run_136,100,80,1800,0.00006,388
137,Run_137,100,80,1800,0.00008,358
138,Run_138,100,80,1800,0.0001,325
139,Run_139,100,80,2000,0.00001,529
140,Run_140,100,80,2000,0.00002,542
141,Run_141,100,80,2000,0.00004,526
142,Run_142,100,80,2000,0.00006,476
143,Run_143,100,80,2000,0.00008,434
144,Run_144,100,80,2000,0.0001,407
145,Run_145,100,100,1000,0.00001,107
146,Run_146,100,100,1000,0.00002,108
147,Run_147,100,100,1000,0.00004,109
148,Run_148,100,100,1000,0.00006,92
149,Run_149,100,100,1000,0.00008,87
150,Run_150,100,100,1000,0.0001,62
151,Run_151,100,100,1200,0.00001,236
152,Run_152,100,100,1200,0.00002,248
153,Run_153,100,100,1200,0.00004,242
154,Run_154,100,100,1200,0.00006,225
155,Run_155,100,100,1200,0.00008,194
156,Run_156,100,100,1200,0.0001,176
157,Run_157,100,100,1400,0.00001,328
158,Run_158,100,100,1400,0.00002,322
159,Run_159,100,100,1400,0.00004,319
160,Run_160,100,100,1400,0.00006,312
161,Run_161,100,100,1400,0.00008,297
162,Run_162,100,100,1400,0.0001,286
163,Run_163,100,100,1600,0.00001,452
164,Run_164,100,100,1600,0.00002,441
165,Run_165,100,100,1600,0.00004,434
166,Run_166,100,100,1600,0.00006,408
167,Run_167,100,100,1600,0.00008,358
168,Run_168,100,100,1600,0.0001,350
169,Run_169,100,100,1800,0.00001,492
170,Run_170,100,100,1800,0.00002,498
171,Run_171,100,100,1800,0.00004,508
172,Run_172,100,100,1800,0.00006,503
173,Run_173,100,100,1800,0.00008,460
174,Run_174,100,100,1800,0.0001,445
175,Run_175,100,100,2000,0.00001,635
176,Run_176,100,100,2000,0.00002,650
177,Run_177,100,100,2000,0.00004,618
178,Run_178,100,100,2000,0.00006,585
179,Run_179,100,100,2000,0.00008,550
180,Run_180,100,100,2000,0.0001,513
181,Run_181,100,120,1000,0.00001,152
182,Run_182,100,120,1000,0.00002,144
183,Run_183,100,120,1000,0.00004,149
184,Run_184,100,120,1000,0.00006,142
185,Run_185,100,120,1000,0.00008,140
186,Run_186,100,120,1000,0.0001,126
187,Run_187,100,120,1200,0.00001,312
188,Run_188,100,120,1200,0.00002,295
189,Run_189,100,120,1200,0.00004,300
190,Run_190,100,120,1200,0.00006,298
191,Run_191,100,120,1200,0.00008,292
192,Run_192,100,120,1200,0.0001,282
193,Run_193,100,120,1400,0.00001,395
194,Run_194,100,120,1400,0.00002,387
195,Run_195,100,120,1400,0.00004,384
196,Run_196,100,120,1400,0.00006,376
197,Run_197,100,120,1400,0.00008,370
198,Run_198,100,120,1400,0.0001,354
199,Run_199,100,120,1600,0.00001,514
200,Run_200,100,120,1600,0.00002,522
201,Run_201,100,120,1600,0.00004,522
202,Run_202,100,120,1600,0.00006,508
203,Run_203,100,120,1600,0.00008,480
204,Run_204,100,120,1600,0.0001,456
205,Run_205,100,120,1800,0.00001,630
206,Run_206,100,120,1800,0.00002,641
207,Run_207,100,120,1800,0.00004,639
208,Run_208,100,120,1800,0.00006,621
209,Run_209,100,120,1800,0.00008,597
210,Run_210,100,120,1800,0.0001,562
211,Run_211,100,120,2000,0.00001,807
212,Run_212,100,120,2000,0.00002,828
213,Run_213,100,120,2000,0.00004,822
214,Run_214,100,120,2000,0.00006,816
215,Run_215,100,120,2000,0.00008,783
216,Run_216,100,120,2000,0.0001,756
217,Run_217,100,140,1000,0.00001,155
218,Run_218,100,140,1000,0.00002,144
219,Run_219,100,140,1000,0.00004,148
220,Run_220,100,140,1000,0.00006,144
221,Run_221,100,140,1000,0.00008,137
222,Run_222,100,140,1000,0.0001,126
223,Run_223,100,140,1200,0.00001,330
224,Run_224,100,140,1200,0.00002,296
225,Run_225,100,140,1200,0.00004,304
226,Run_226,100,140,1200,0.00006,312
227,Run_227,100,140,1200,0.00008,299
228,Run_228,100,140,1200,0.0001,294
229,Run_229,100,140,1400,0.00001,436
230,Run_230,100,140,1400,0.00002,402
231,Run_231,100,140,1400,0.00004,400
232,Run_232,100,140,1400,0.00006,398
233,Run_233,100,140,1400,0.00008,394
234,Run_234,100,140,1400,0.0001,374
235,Run_235,100,140,1600,0.00001,594
236,Run_236,100,140,1600,0.00002,569
237,Run_237,100,140,1600,0.00004,570
238,Run_238,100,140,1600,0.00006,562
239,Run_239,100,140,1600,0.00008,542
240,Run_240,100,140,1600,0.0001,504
241,Run_241,100,140,1800,0.00001,714
242,Run_242,100,140,1800,0.00002,696
243,Run_243,100,140,1800,0.00004,696
244,Run_244,100,140,1800,0.00006,686
245,Run_245,100,140,1800,0.00008,680
246,Run_246,100,140,1800,0.0001,672
247,Run_247,100,140,2000,0.00001,834
248,Run_248,100,140,2000,0.00002,860
249,Run_249,100,140,2000,0.00004,836
250,Run_250,100,140,2000,0.00006,844
251,Run_251,100,140,2000,0.00008,825
252,Run_252,100,140,2000,0.0001,808
253,Run_253,100,160,1000,0.00001,146
254,Run_254,100,160,1000,0.00002,136
255,Run_255,100,160,1000,0.00004,138
256,Run_256,100,160,1000,0.00006,130
257,Run_257,100,160,1000,0.00008,136
258,Run_258,100,160,1000,0.0001,132
259,Run_259,100,160,1200,0.00001,304
260,Run_260,100,160,1200,0.00002,296
261,Run_261,100,160,1200,0.00004,305
262,Run_262,100,160,1200,0.00006,292
263,Run_263,100,160,1200,0.00008,297
264,Run_264,100,160,1200,0.0001,304
265,Run_265,100,160,1400,0.00001,436
266,Run_266,100,160,1400,0.00002,414
267,Run_267,100,160,1400,0.00004,417
268,Run_268,100,160,1400,0.00006,391
269,Run_269,100,160,1400,0.00008,399
270,Run_270,100,160,1400,0.0001,402
271,Run_271,100,160,1600,0.00001,599
272,Run_272,100,160,1600,0.00002,576
273,Run_273,100,160,1600,0.00004,578
274,Run_274,100,160,1600,0.00006,552
275,Run_275,100,160,1600,0.00008,550
276,Run_276,100,160,1600,0.0001,555
277,Run_277,100,160,1800,0.00001,759
278,Run_278,100,160,1800,0.00002,764
279,Run_279,100,160,1800,0.00004,765
280,Run_280,100,160,1800,0.00006,764
281,Run_281,100,160,1800,0.00008,705
282,Run_282,100,160,1800,0.0001,733
283,Run_283,100,160,2000,0.00001,880
284,Run_284,100,160,2000,0.00002,880
285,Run_285,100,160,2000,0.00004,910
286,Run_286,100,160,2000,0.00006,916
287,Run_287,100,160,2000,0.00008,886
288,Run_288,100,160,2000,0.0001,855
289,Run_289,100,180,1000,0.00001,94
290,Run_290,100,180,1000,0.00002,98
291,Run_291,100,180,1000,0.00004,101
292,Run_292,100,180,1000,0.00006,96
293,Run_293,100,180,1000,0.00008,70
294,Run_294,100,180,1000,0.0001,76
295,Run_295,100,180,1200,0.00001,228
296,Run_296,100,180,1200,0.00002,220
297,Run_297,100,180,1200,0.00004,234
298,Run_298,100,180,1200,0.00006,220
299,Run_299,100,180,1200,0.00008,212
300,Run_300,100,180,1200,0.0001,222
301,Run_301,100,180,1400,0.00001,416
302,Run_302,100,180,1400,0.00002,392
303,Run_303,100,180,1400,0.00004,386
304,Run_304,100,180,1400,0.00006,382
305,Run_305,100,180,1400,0.00008,376
306,Run_306,100,180,1400,0.0001,368
307,Run_307,100,180,1600,0.00001,560
308,Run_308,100,180,1600,0.00002,541
309,Run_309,100,180,1600,0.00004,553
310,Run_310,100,180,1600,0.00006,550
311,Run_311,100,180,1600,0.00008,524
312,Run_312,100,180,1600,0.0001,537
313,Run_313,100,180,1800,0.00001,733
314,Run_314,100,180,1800,0.00002,722
315,Run_315,100,180,1800,0.00004,726
316,Run_316,100,180,1800,0.00006,718
317,Run_317,100,180,1800,0.00008,700
318,Run_318,100,180,1800,0.0001,708
319,Run_319,100,180,2000,0.00001,902
320,Run_320,100,180,2000,0.00002,919
321,Run_321,100,180,2000,0.00004,920
322,Run_322,100,180,2000,0.00006,871
323,Run_323,100,180,2000,0.00008,882
324,Run_324,100,180,2000,0.0001,886
325,Run_325,100,200,1000,0.00001,31
326,Run_326,100,200,1000,0.00002,32
327,Run_327,100,200,1000,0.00004,45
328,Run_328,100,200,1000,0.00006,35
329,Run_329,100,200,1000,0.00008,34
330,Run_330,100,200,1000,0.0001,34
331,Run_331,100,200,1200,0.00001,164
332,Run_332,100,200,1200,0.00002,161
333,Run_333,100,200,1200,0.00004,166
334,Run_334,100,200,1200,0.00006,168
335,Run_335,100,200,1200,0.00008,168
336,Run_336,100,200,1200,0.0001,170
337,Run_337,100,200,1400,0.00001,338
338,Run_338,100,200,1400,0.00002,312
339,Run_339,100,200,1400,0.00004,318
340,Run_340,100,200,1400,0.00006,318
341,Run_341,100,200,1400,0.00008,329
342,Run_342,100,200,1400,0.0001,324
343,Run_343,100,200,1600,0.00001,452
344,Run_344,100,200,1600,0.00002,447
345,Run_345,100,200,1600,0.00004,450
346,Run_346,100,200,1600,0.00006,429
347,Run_347,100,200,1600,0.00008,432
348,Run_348,100,200,1600,0.0001,468
349,Run_349,100,200,1800,0.00001,586
350,Run_350,100,200,1800,0.00002,584
351,Run_351,100,200,1800,0.00004,571
352,Run_352,100,200,1800,0.00006,584
353,Run_353,100,200,1800,0.00008,597
354,Run_354,100,200,1800,0.0001,572
355,Run_355,100,200,2000,0.00001,866
356,Run_356,100,200,2000,0.00002,869
357,Run_357,100,200,2000,0.00004,870
358,Run_358,100,200,2000,0.00006,848
359,Run_359,100,200,2000,0.00008,832
360,Run_360,100,200,2000,0.0001,832
361,Run_361,120,0,1000,0.00001,15
362,Run_362,120,0,1000,0.00002,14
363,Run_363,120,0,1000,0.00004,15
364,Run_364,120,0,1000,0.00006,16
365,Run_365,120,0,1000,0.00008,16
366,Run_366,120,0,1000,0.0001,17
367,Run_367,120,0,1200,0.00001,17
368,Run_368,120,0,1200,0.00002,18
369,Run_369,120,0,1200,0.00004,18
370,Run_370,120,0,1200,0.00006,19
371,Run_371,120,0,1200,0.00008,19
372,Run_372,120,0,1200,0.0001,20
373,Run_373,120,0,1400,0.00001,20
374,Run_374,120,0,1400,0.00002,20
375,Run_375,120,0,1400,0.00004,20
376,Run_376,120,0,1400,0.00006,21
377,Run_377,120,0,1400,0.00008,22
378,Run_378,120,0,1400,0.0001,22
379,Run_379,120,0,1600,0.00001,22
380,Run_380,120,0,1600,0.00002,22
381,Run_381,120,0,1600,0.00004,24
382,Run_382,120,0,1600,0.00006,24
383,Run_383,120,0,1600,0.00008,24
384,Run_384,120,0,1600,0.0001,25
385,Run_385,120,0,1800,0.00001,25
386,Run_386,120,0,1800,0.00002,25
387,Run_387,120,0,1800,0.00004,26
388,Run_388,120,0,1800,0.00006,27
389,Run_389,120,0,1800,0.00008,28
390,Run_390,120,0,1800,0.0001,28
391,Run_391,120,0,2000,0.00001,27
392,Run_392,120,0,2000,0.00002,28
393,Run_393,120,0,2000,0.00004,28
394,Run_394,120,0,2000,0.00006,29
395,Run_395,120,0,2000,0.00008,30
396,Run_396,120,0,2000,0.0001,30
397,Run_397,120,20,1000,0.00001,24
398,Run_398,120,20,1000,0.00002,24
399,Run_399,120,20,1000,0.00004,24
400,Run_400,120,20,1000,0.00006,24
401,Run_401,120,20,1000,0.00008,24
402,Run_402,120,20,1000,0.0001,25
403,Run_403,120,20,1200,0.00001,28
404,Run_404,120,20,1200,0.00002,28
405,Run_405,120,20,1200,0.00004,27
406,Run_406,120,20,1200,0.00006,27
407,Run_407,120,20,1200,0.00008,28
408,Run_408,120,20,1200,0.0001,28
409,Run_409,120,20,1400,0.00001,30
410,Run_410,120,20,1400,0.00002,30
411,Run_411,120,20,1400,0.00004,30
412,Run_412,120,20,1400,0.00006,30
413,Run_413,120,20,1400,0.00008,30
414,Run_414,120,20,1400,0.0001,30
415,Run_415,120,20,1600,0.00001,34
416,Run_416,120,20,1600,0.00002,34
417,Run_417,120,20,1600,0.00004,33
418,Run_418,120,20,1600,0.00006,33
419,Run_419,120,20,1600,0.00008,33
420,Run_420,120,20,1600,0.0001,34
421,Run_421,120,20,1800,0.00001,38
422,Run_422,120,20,1800,0.00002,38
423,Run_423,120,20,1800,0.00004,37
424,Run_424,120,20,1800,0.00006,37
425,Run_425,120,20,1800,0.00008,37
426,Run_426,120,20,1800,0.0001,37
427,Run_427,120,20,2000,0.00001,42
428,Run_428,120,20,2000,0.00002,42
429,Run_429,120,20,2000,0.00004,41
430,Run_430,120,20,2000,0.00006,40
431,Run_431,120,20,2000,0.00008,40
432,Run_432,120,20,2000,0.0001,40
433,Run_433,120,40,1000,0.00001,32
434,Run_434,120,40,1000,0.00002,32
435,Run_435,120,40,1000,0.00004,31
436,Run_436,120,40,1000,0.00006,30
437,Run_437,120,40,1000,0.00008,30
438,Run_438,120,40,1000,0.0001,30
439,Run_439,120,40,1200,0.00001,37
440,Run_440,120,40,1200,0.00002,37
441,Run_441,120,40,1200,0.00004,36
442,Run_442,120,40,1200,0.00006,36
443,Run_443,120,40,1200,0.00008,35
444,Run_444,120,40,1200,0.0001,34
445,Run_445,120,40,1400,0.00001,43
446,Run_446,120,40,1400,0.00002,43
447,Run_447,120,40,1400,0.00004,44
448,Run_448,120,40,1400,0.00006,42
449,Run_449,120,40,1400,0.00008,40
450,Run_450,120,40,1400,0.0001,40
451,Run_451,120,40,1600,0.00001,50
452,Run_452,120,40,1600,0.00002,51
453,Run_453,120,40,1600,0.00004,50
454,Run_454,120,40,1600,0.00006,48
455,Run_455,120,40,1600,0.00008,46
456,Run_456,120,40,1600,0.0001,45
457,Run_457,120,40,1800,0.00001,58
458,Run_458,120,40,1800,0.00002,58
459,Run_459,120,40,1800,0.00004,56
460,Run_460,120,40,1800,0.00006,54
461,Run_461,120,40,1800,0.00008,54
462,Run_462,120,40,1800,0.0001,51
463,Run_463,120,40,2000,0.00001,72
464,Run_464,120,40,2000,0.00002,76
465,Run_465,120,40,2000,0.00004,70
466,Run_466,120,40,2000,0.00006,64
467,Run_467,120,40,2000,0.00008,62
468,Run_468,120,40,2000,0.0001,61
469,Run_469,120,80,1000,0.00001,36
470,Run_470,120,80,1000,0.00002,38
471,Run_471,120,80,1000,0.00004,36
472,Run_472,120,80,1000,0.00006,32
473,Run_473,120,80,1000,0.00008,28
474,Run_474,120,80,1000,0.0001,26
475,Run_475,120,80,1200,0.00001,61
476,Run_476,120,80,1200,0.00002,74
477,Run_477,120,80,1200,0.00004,71
478,Run_478,120,80,1200,0.00006,58
479,Run_479,120,80,1200,0.00008,43
480,Run_480,120,80,1200,0.0001,39
481,Run_481,120,80,1400,0.00001,148
482,Run_482,120,80,1400,0.00002,158
483,Run_483,120,80,1400,0.00004,146
484,Run_484,120,80,1400,0.00006,120
485,Run_485,120,80,1400,0.00008,101
486,Run_486,120,80,1400,0.0001,76
487,Run_487,120,80,1600,0.00001,239
488,Run_488,120,80,1600,0.00002,246
489,Run_489,120,80,1600,0.00004,231
490,Run_490,120,80,1600,0.00006,207
491,Run_491,120,80,1600,0.00008,162
492,Run_492,120,80,1600,0.0001,131
493,Run_493,120,80,1800,0.00001,338
494,Run_494,120,80,1800,0.00002,344
495,Run_495,120,80,1800,0.00004,345
496,Run_496,120,80,1800,0.00006,332
497,Run_497,120,80,1800,0.00008,279
498,Run_498,120,80,1800,0.0001,221
499,Run_499,120,80,2000,0.00001,436
500,Run_500,120,80,2000,0.00002,449
501,Run_501,120,80,2000,0.00004,450
502,Run_502,120,80,2000,0.00006,414
503,Run_503,120,80,2000,0.00008,384
504,Run_504,120,80,2000,0.0001,342
505,Run_505,120,100,1000,0.00001,52
506,Run_506,120,100,1000,0.00002,56
507,Run_507,120,100,1000,0.00004,53
508,Run_508,120,100,1000,0.00006,44
509,Run_509,120,100,1000,0.00008,37
510,Run_510,120,100,1000,0.0001,32
511,Run_511,120,100,1200,0.00001,139
512,Run_512,120,100,1200,0.00002,146
513,Run_513,120,100,1200,0.00004,142
514,Run_514,120,100,1200,0.00006,127
515,Run_515,120,100,1200,0.00008,108
516,Run_516,120,100,1200,0.0001,96
517,Run_517,120,100,1400,0.00001,256
518,Run_518,120,100,1400,0.00002,276
519,Run_519,120,100,1400,0.00004,250
520,Run_520,120,100,1400,0.00006,230
521,Run_521,120,100,1400,0.00008,214
522,Run_522,120,100,1400,0.0001,192
523,Run_523,120,100,1600,0.00001,378
524,Run_524,120,100,1600,0.00002,381
525,Run_525,120,100,1600,0.00004,386
526,Run_526,120,100,1600,0.00006,352
527,Run_527,120,100,1600,0.00008,318
528,Run_528,120,100,1600,0.0001,304
529,Run_529,120,100,1800,0.00001,428
530,Run_530,120,100,1800,0.00002,428
531,Run_531,120,100,1800,0.00004,426
532,Run_532,120,100,1800,0.00006,423
533,Run_533,120,100,1800,0.00008,402
534,Run_534,120,100,1800,0.0001,382
535,Run_535,120,100,2000,0.00001,524
536,Run_536,120,100,2000,0.00002,520
537,Run_537,120,100,2000,0.00004,481
538,Run_538,120,100,2000,0.00006,458
539,Run_539,120,100,2000,0.00008,452
540,Run_540,120,100,2000,0.0001,431
541,Run_541,120,120,1000,0.00001,80
542,Run_542,120,120,1000,0.00002,78
543,Run_543,120,120,1000,0.00004,76
544,Run_544,120,120,1000,0.00006,70
545,Run_545,120,120,1000,0.00008,68
546,Run_546,120,120,1000,0.0001,61
547,Run_547,120,120,1200,0.00001,220
548,Run_548,120,120,1200,0.00002,208
549,Run_549,120,120,1200,0.00004,206
550,Run_550,120,120,1200,0.00006,197
551,Run_551,120,120,1200,0.00008,180
552,Run_552,120,120,1200,0.0001,178
553,Run_553,120,120,1400,0.00001,327
554,Run_554,120,120,1400,0.00002,342
555,Run_555,120,120,1400,0.00004,350
556,Run_556,120,120,1400,0.00006,343
557,Run_557,120,120,1400,0.00008,332
558,Run_558,120,120,1400,0.0001,312
559,Run_559,120,120,1600,0.00001,430
560,Run_560,120,120,1600,0.00002,434
561,Run_561,120,120,1600,0.00004,438
562,Run_562,120,120,1600,0.00006,428
563,Run_563,120,120,1600,0.00008,414
564,Run_564,120,120,1600,0.0001,396
565,Run_565,120,120,1800,0.00001,514
566,Run_566,120,120,1800,0.00002,520
567,Run_567,120,120,1800,0.00004,518
568,Run_568,120,120,1800,0.00006,502
569,Run_569,120,120,1800,0.00008,487
570,Run_570,120,120,1800,0.0001,460
571,Run_571,120,120,2000,0.00001,671
572,Run_572,120,120,2000,0.00002,682
573,Run_573,120,120,2000,0.00004,676
574,Run_574,120,120,2000,0.00006,674
575,Run_575,120,120,2000,0.00008,649
576,Run_576,120,120,2000,0.0001,626
577,Run_577,120,140,1000,0.00001,79
578,Run_578,120,140,1000,0.00002,70
579,Run_579,120,140,1000,0.00004,73
580,Run_580,120,140,1000,0.00006,70
581,Run_581,120,140,1000,0.00008,73
