"Day1","Day2","Day3","Day4"
48,60,11,6
124,35,14,3
88,63,5,5
108,37,11,0
105,46,0,0
99,57,0,0
53,26,0,8
120,40,3,9
75,54,24,2
97,57,15,4
100,61,16,5
97,73,22,9
63,54,13,0
69,46,8,4
85,58,15,11
108,44,17,11
132,27,17,5
63,54,17,5
106,51,19,6
81,42,17,2
94,70,38,1
80,40,2,7
112,59,24,6
130,39,22,11
26,47,28,7
93,56,18,2
100,51,21,10
42,59,7,1
72,22,32,2
105,55,10,7
52,58,8,9
97,64,41,10
58,42,11,0
69,66,11,0
59,48,7,9
75,66,11,0
81,31,23,8
11,26,31,5
73,41,12,2
93,64,23,6
71,51,13,0
85,36,34,5
101,22,0,5
58,40,9,6
70,32,20,5
120,50,29,3
62,71,33,13
106,37,14,0
64,40,0,8
44,42,28,0
72,58,14,7
105,52,38,12
68,53,23,4
92,73,17,4
19,63,32,9
74,69,0,1
122,86,21,6
99,73,17,5
53,54,24,12
46,75,7,1
66,72,27,10
60,53,13,2
107,49,19,5
79,44,25,0
43,68,28,8
47,50,11,7
75,59,25,2
46,39,0,10
71,49,28,7
45,42,7,0
20,39,30,9
105,36,20,8
108,44,35,0
59,38,16,0
64,76,25,6
102,49,13,7
66,33,18,13
123,28,6,10
76,53,16,10
99,46,5,0
92,62,18,5
97,44,12,0
94,46,28,9
65,51,20,0
60,40,27,15
80,49,26,5
10,66,24,3
49,56,7,3
72,29,14,11
56,31,9,1
64,57,32,7
61,65,8,2
70,24,17,5
52,48,9,2
53,42,4,0
36,72,8,8
95,49,13,6
81,67,14,16
32,36,0,3
89,16,16,8
44,68,0,0
106,50,4,9
89,37,23,4
97,59,11,3
106,30,3,9
58,42,25,9
104,44,10,1
47,48,8,0
58,58,17,8
55,69,12,12
102,46,12,1
85,41,26,10
89,24,6,5
71,37,19,2
49,60,5,15
60,44,11,11
48,44,9,8
71,38,22,0
106,70,17,11
94,34,9,2
133,50,8,8
59,70,17,5
44,30,3,6
23,28,26,2
44,55,6,14
104,39,13,6
88,55,19,11
77,46,6,5
60,50,19,7
42,38,12,9
103,47,16,14
70,76,20,0
76,55,22,0
93,47,14,9
66,49,25,10
97,68,11,3
81,62,20,2
106,97,23,8
115,39,31,6
84,53,16,4
101,52,9,0
59,56,22,5
29,27,22,0
21,40,12,0
71,48,4,3
63,37,26,1
82,56,18,8
58,35,9,4
51,49,10,9
37,42,16,7
82,47,3,8
88,49,0,10
87,41,9,2
87,48,9,0
70,75,7,7
118,63,10,3
43,47,0,5
86,38,6,8
68,48,9,11
76,42,20,3
86,64,15,8
62,50,16,2
159,54,9,1
122,48,20,7
55,46,7,5
68,47,28,4
48,64,2,4
44,60,0,9
25,40,19,13
75,15,25,7
54,81,2,11
95,59,13,0
103,52,8,11
106,62,26,9
61,54,24,7
58,43,18,8
70,64,23,8
25,29,0,3
59,71,7,10
90,65,15,7
56,45,7,8
48,41,18,4
73,65,6,3
90,22,6,1
79,66,22,4
74,18,0,6
109,43,14,7
50,63,7,3
110,38,22,1
91,75,11,3
95,56,33,6
74,46,22,3
31,45,19,13
76,26,22,7
101,60,19,0
35,28,15,9
64,60,9,8
46,53,0,1
102,33,22,7
61,22,26,4
93,44,25,5
44,59,22,10
100,63,12,7
84,62,25,7
76,42,13,16
56,34,4,1
85,21,19,7
79,43,19,10
69,82,6,0
82,45,17,9
47,40,8,9
43,67,26,5
76,52,4,6
95,50,21,9
86,73,14,2
91,68,18,6
53,65,8,7
39,57,11,0
45,33,13,14
60,69,40,9
