Lat,Lon
3.1135605E01,2.9795303E01
3.1135599E01,2.9795328E01
3.1135571E01,2.9795433E01
3.1135561E01,2.9795492E01
3.1135527E01,2.9795555E01
3.1135477E01,2.9795654E01
3.1135475E01,2.9795668E01
3.1135462E01,2.9795761E01
3.1135448E01,2.9795805E01
3.1135445E01,2.9795816E01
3.1135408E01,2.9795929E01
3.1135406E01,2.9795938E01
3.1135389E01,2.9795994E01
3.1135382E01,2.9796021E01
3.1135368E01,2.9796055E01
3.1135359E01,2.9796103E01
3.1135353E01,2.9796122E01
3.1135338E01,2.9796183E01
3.1135334E01,2.9796185E01
3.1135334E01,2.9796186E01
3.1135292E01,2.9796225E01
3.1135267E01,2.9796265E01
3.1135263E01,2.9796280E01
3.1135248E01,2.9796329E01
3.1135244E01,2.9796343E01
3.1135242E01,2.9796347E01
3.1135223E01,2.9796406E01
3.1135218E01,2.9796427E01
3.1135204E01,2.9796469E01
3.1135195E01,2.9796509E01
3.1135187E01,2.9796532E01
3.1135183E01,2.9796591E01
3.1135180E01,2.9796606E01
3.1135170E01,2.9796671E01
3.1135168E01,2.9796679E01
3.1135162E01,2.9796728E01
3.1135159E01,2.9796749E01
3.1135159E01,2.9796753E01
3.1135147E01,2.9796820E01
3.1135147E01,2.9796835E01
3.1135162E01,2.9796873E01
3.1135178E01,2.9796915E01
3.1135176E01,2.9796928E01
3.1135181E01,2.9796997E01
3.1135180E01,2.9797014E01
3.1135183E01,2.9797079E01
3.1135181E01,2.9797098E01
3.1135185E01,2.9797159E01
3.1135191E01,2.9797188E01
3.1135193E01,2.9797241E01
3.1135193E01,2.9797270E01
3.1135201E01,2.9797323E01
3.1135202E01,2.9797361E01
3.1135208E01,2.9797403E01
3.1135210E01,2.9797449E01
3.1135214E01,2.9797485E01
3.1135248E01,2.9797550E01
3.1135256E01,2.9797567E01
3.1135258E01,2.9797575E01
3.1135271E01,2.9797647E01
3.1135277E01,2.9797676E01
3.1135288E01,2.9797729E01
3.1135302E01,2.9797781E01
3.1135309E01,2.9797812E01
3.1135334E01,2.9797867E01
3.1135344E01,2.9797892E01
3.1135349E01,2.9797907E01
3.1135372E01,2.9797974E01
3.1135397E01,2.9798035E01
3.1135406E01,2.9798056E01
3.1135418E01,2.9798079E01
3.1135447E01,2.9798136E01
3.1135504E01,2.9798176E01
3.1135534E01,2.9798218E01
3.1135559E01,2.9798269E01
3.1135569E01,2.9798300E01
3.1135590E01,2.9798336E01
3.1135649E01,2.9798380E01
3.1135675E01,2.9798399E01
3.1135731E01,2.9798433E01
3.1135761E01,2.9798454E01
3.1135777E01,2.9798462E01
3.1135845E01,2.9798487E01
3.1135883E01,2.9798496E01
3.1135931E01,2.9798513E01
3.1135986E01,2.9798513E01
3.1136017E01,2.9798515E01
3.1136082E01,2.9798523E01
3.1136124E01,2.9798521E01
3.1136169E01,2.9798513E01
3.1136230E01,2.9798502E01
3.1136316E01,2.9798450E01
3.1136341E01,2.9798445E01
3.1136370E01,2.9798422E01
3.1136444E01,2.9798382E01
3.1136486E01,2.9798338E01
3.1136538E01,2.9798307E01
3.1136570E01,2.9798258E01
3.1136621E01,2.9798225E01
3.1136639E01,2.9798204E01
3.1136684E01,2.9798182E01
3.1136730E01,2.9798164E01
3.1136786E01,2.9798136E01
3.1136786E01,2.9798136E01
3.1136786E01,2.9798136E01
3.1136824E01,2.9798092E01
3.1136847E01,2.9798056E01
3.1136856E01,2.9798040E01
3.1136871E01,2.9798018E01
3.1136885E01,2.9797985E01
3.1136883E01,2.9797974E01
3.1136898E01,2.9797918E01
3.1136904E01,2.9797892E01
3.1136913E01,2.9797852E01
3.1136921E01,2.9797812E01
3.1136927E01,2.9797781E01
3.1136934E01,2.9797729E01
3.1136936E01,2.9797710E01
3.1136948E01,2.9797647E01
3.1136948E01,2.9797640E01
3.1136957E01,2.9797588E01
3.1136965E01,2.9797575E01
3.1136969E01,2.9797567E01
3.1137001E01,2.9797527E01
3.1137033E01,2.9797485E01
3.1137035E01,2.9797478E01
3.1137043E01,2.9797459E01
3.1137054E01,2.9797417E01
3.1137058E01,2.9797403E01
3.1137068E01,2.9797348E01
3.1137077E01,2.9797323E01
3.1137087E01,2.9797283E01
3.1137094E01,2.9797241E01
3.1137100E01,2.9797215E01
3.1137115E01,2.9797159E01
3.1137119E01,2.9797152E01
3.1137127E01,2.9797119E01
3.1137136E01,2.9797087E01
3.1137138E01,2.9797079E01
3.1137148E01,2.9797016E01
3.1137152E01,2.9796997E01
3.1137159E01,2.9796946E01
3.1137165E01,2.9796915E01
3.1137186E01,2.9796890E01
3.1137213E01,2.9796867E01
3.1137232E01,2.9796852E01
3.1137253E01,2.9796835E01
3.1137251E01,2.9796787E01
3.1137249E01,2.9796753E01
3.1137247E01,2.9796705E01
3.1137249E01,2.9796661E01
3.1137245E01,2.9796600E01
3.1137230E01,2.9796524E01
3.1137230E01,2.9796469E01
3.1137215E01,2.9796349E01
3.1137209E01,2.9796305E01
3.1137171E01,2.9796192E01
3.1137150E01,2.9796143E01
3.1137146E01,2.9796120E01
3.1137127E01,2.9795980E01
3.1137119E01,2.9795931E01
3.1137098E01,2.9795816E01
3.1137085E01,2.9795736E01
3.1137072E01,2.9795654E01
3.1136999E01,2.9795591E01
3.1136940E01,2.9795492E01
3.1136915E01,2.9795412E01
3.1136898E01,2.9795328E01
3.1136848E01,2.9795185E01
3.1136845E01,2.9795166E01
3.1136829E01,2.9795128E01
3.1136784E01,2.9795124E01
3.1136658E01,2.9795111E01
3.1136595E01,2.9795105E01
3.1136486E01,2.9795097E01
3.1136406E01,2.9795090E01
3.1136316E01,2.9795080E01
3.1136234E01,2.9795088E01
3.1136145E01,2.9795092E01
3.1136082E01,2.9795105E01
3.1135975E01,2.9795128E01
3.1135942E01,2.9795135E01
3.1135811E01,2.9795166E01
3.1135805E01,2.9795168E01
3.1135803E01,2.9795168E01
