Day.1.Run,Day.1.RunName,Day.1.WIND_DIRECTION,Day.1.RELEASE_ALT,Day.1.RELEASE_MASS,Day.1.MASS_MEAN_DIAMETER,Day.1.Fatalities,Day.2.Run,Day.2.RunName,Day.2.WIND_DIRECTION,Day.2.RELEASE_ALT,Day.2.RELEASE_MASS,Day.2.MASS_MEAN_DIAMETER,Day.2.Fatalities,Day.3.Run,Day.3.RunName,Day.3.WIND_DIRECTION,Day.3.RELEASE_ALT,Day.3.RELEASE_MASS,Day.3.MASS_MEAN_DIAMETER,Day.3.Fatalities
2485,Run_2485,220,200,1000,1.00E-05,6,1046,Run_1046,140,200,1000,2.00E-05,20,2854,Run_2854,240,200,1200,6.00E-05,8
2778,Run_2778,240,160,1000,1.00E-04,8,2645,Run_2645,240,80,1400,8.00E-05,19,3208,Run_3208,260,200,1000,6.00E-05,4
3389,Run_3389,280,100,1000,8.00E-05,9,3893,Run_3893,300,180,1000,8.00E-05,14,3064,Run_3064,260,120,1000,6.00E-05,10
3565,Run_3565,280,200,1000,1.00E-05,4,2543,Run_2543,240,0,1600,8.00E-05,18,3925,Run_3925,300,200,1000,1.00E-05,8
3530,Run_3530,280,180,1000,2.00E-05,6,3156,Run_3156,260,160,1600,1.00E-04,16,3571,Run_3571,280,200,1200,1.00E-05,7
2777,Run_2777,240,160,1000,8.00E-05,8,1733,Run_1733,180,180,1000,8.00E-05,24,3540,Run_3540,280,180,1200,1.00E-04,8
3570,Run_3570,280,200,1000,1.00E-04,3,2800,Run_2800,240,160,1800,6.00E-05,26,2485,Run_2485,220,200,1000,1.00E-05,6
3211,Run_3211,260,200,1200,1.00E-05,7,1775,Run_1775,180,200,1200,8.00E-05,28,3213,Run_3213,260,200,1200,4.00E-05,7
3175,Run_3175,260,180,1200,1.00E-05,10,2970,Run_2970,260,40,1400,1.00E-04,21,3170,Run_3170,260,180,1000,2.00E-05,6
3219,Run_3219,260,200,1400,4.00E-05,10,2656,Run_2656,240,80,1800,6.00E-05,26,3174,Run_3174,260,180,1000,1.00E-04,5
1092,Run_1092,160,0,1200,1.00E-04,20,2722,Run_2722,240,120,1600,6.00E-05,25,3426,Run_3426,280,120,1000,1.00E-04,9
2450,Run_2450,220,180,1000,2.00E-05,12,3311,Run_3311,280,20,2000,8.00E-05,22,3537,Run_3537,280,180,1200,4.00E-05,10
2863,Run_2863,240,200,1600,1.00E-05,18,2354,Run_2354,220,120,1400,2.00E-05,27,2634,Run_2634,240,80,1000,1.00E-04,10
2570,Run_2570,240,20,1400,2.00E-05,20,25,Run_25,100,0,1800,1.00E-05,24,3205,Run_3205,260,200,1000,1.00E-05,4
369,Run_369,120,0,1200,4.00E-05,18,758,Run_758,140,20,1000,2.00E-05,23,3929,Run_3929,300,200,1000,8.00E-05,8
2785,Run_2785,240,160,1400,1.00E-05,20,2114,Run_2114,200,180,1800,2.00E-05,39,3097,Run_3097,260,140,1000,1.00E-05,10
3422,Run_3422,280,120,1000,2.00E-05,12,1974,Run_1974,200,100,1800,1.00E-04,40,2741,Run_2741,240,140,1000,8.00E-05,10
2888,Run_2888,260,0,1200,2.00E-05,13,3161,Run_3161,260,160,1800,8.00E-05,31,3458,Run_3458,280,140,1000,2.00E-05,10
3629,Run_3629,300,0,1800,8.00E-05,20,1055,Run_1055,140,200,1200,8.00E-05,36,2846,Run_2846,240,200,1000,2.00E-05,4
2378,Run_2378,220,140,1000,2.00E-05,18,3384,Run_3384,280,80,2000,1.00E-04,31,2812,Run_2812,240,180,1000,6.00E-05,8
2832,Run_2832,240,180,1600,1.00E-04,18,426,Run_426,120,20,1800,1.00E-04,37,3457,Run_3457,280,140,1000,1.00E-05,10
3321,Run_3321,280,40,1200,4.00E-05,19,1886,Run_1886,200,40,1400,2.00E-05,39,3065,Run_3065,260,120,1000,8.00E-05,10
3430,Run_3430,280,120,1200,6.00E-05,16,1297,Run_1297,160,140,1000,1.00E-05,40,3498,Run_3498,280,160,1000,1.00E-04,6
1045,Run_1045,140,200,1000,1.00E-05,19,1957,Run_1957,200,100,1400,1.00E-05,38,3176,Run_3176,260,180,1200,2.00E-05,10
3608,Run_3608,300,0,1200,2.00E-05,14,1515,Run_1515,180,40,1000,4.00E-05,32,3216,Run_3216,260,200,1200,1.00E-04,6
3037,Run_3037,260,100,1400,1.00E-05,18,1227,Run_1227,160,100,1000,4.00E-05,38,3572,Run_3572,280,200,1200,2.00E-05,8
2130,Run_2130,200,200,1000,1.00E-04,13,1863,Run_1863,200,20,1800,4.00E-05,34,3569,Run_3569,280,200,1000,8.00E-05,3
3247,Run_3247,280,0,1200,1.00E-05,14,84,Run_84,100,40,1200,1.00E-04,36,3214,Run_3214,260,200,1200,6.00E-05,7
2895,Run_2895,260,0,1400,4.00E-05,14,3827,Run_3827,300,140,1200,8.00E-05,38,3136,Run_3136,260,160,1000,6.00E-05,8
3648,Run_3648,300,20,1200,1.00E-04,19,419,Run_419,120,20,1600,8.00E-05,33,3576,Run_3576,280,200,1200,1.00E-04,6
3108,Run_3108,260,140,1200,1.00E-04,12,1228,Run_1228,160,100,1000,6.00E-05,36,3928,Run_3928,300,200,1000,6.00E-05,9
3621,Run_3621,300,0,1600,4.00E-05,18,1053,Run_1053,140,200,1200,4.00E-05,37,3390,Run_3390,280,100,1000,1.00E-04,8
2413,Run_2413,220,160,1000,1.00E-05,14,1142,Run_1142,160,20,1800,2.00E-05,39,3567,Run_3567,280,200,1000,4.00E-05,4
3387,Run_3387,280,100,1000,4.00E-05,12,3373,Run_3373,280,80,1800,1.00E-05,32,3493,Run_3493,280,160,1000,1.00E-05,8
2932,Run_2932,260,20,1400,6.00E-05,18,2768,Run_2768,240,140,2000,2.00E-05,32,2819,Run_2819,240,180,1200,8.00E-05,10
2926,Run_2926,260,20,1200,6.00E-05,17,2260,Run_2260,220,40,1800,6.00E-05,34,3425,Run_3425,280,120,1000,8.00E-05,10
3503,Run_3503,280,160,1200,8.00E-05,14,2411,Run_2411,220,140,2000,8.00E-05,32,3133,Run_3133,260,160,1000,1.00E-05,8
3290,Run_3290,280,20,1400,2.00E-05,19,1551,Run_1551,180,80,1000,4.00E-05,34,3531,Run_3531,280,180,1000,4.00E-05,6
2873,Run_2873,240,200,1800,8.00E-05,18,1992,Run_1992,200,120,1200,1.00E-04,32,3535,Run_3535,280,180,1200,1.00E-05,10
3581,Run_3581,280,200,1400,8.00E-05,15,2117,Run_2117,200,180,1800,8.00E-05,36,3539,Run_3539,280,180,1200,8.00E-05,8
2933,Run_2933,260,20,1400,8.00E-05,18,3724,Run_3724,300,80,1400,6.00E-05,38,3144,Run_3144,260,160,1200,1.00E-04,10
3191,Run_3191,260,180,1600,8.00E-05,16,2267,Run_2267,220,40,2000,8.00E-05,36,3566,Run_3566,280,200,1000,2.00E-05,4
2522,Run_2522,240,0,1000,2.00E-05,13,1631,Run_1631,180,120,1200,8.00E-05,40,3180,Run_3180,260,180,1200,1.00E-04,8
2557,Run_2557,240,20,1000,1.00E-05,17,1623,Run_1623,180,120,1000,4.00E-05,36,3135,Run_3135,260,160,1000,4.00E-05,8
3274,Run_3274,280,0,2000,6.00E-05,18,1738,Run_1738,180,180,1200,6.00E-05,34,3926,Run_3926,300,200,1000,2.00E-05,8
3361,Run_3361,280,80,1400,1.00E-05,20,869,Run_869,140,100,1000,8.00E-05,34,2849,Run_2849,240,200,1000,8.00E-05,4
3054,Run_3054,260,100,1800,1.00E-04,18,839,Run_839,140,80,1200,8.00E-05,40,2706,Run_2706,240,120,1000,1.00E-04,10
2910,Run_2910,260,0,1800,1.00E-04,18,1995,Run_1995,200,120,1400,4.00E-05,38,3568,Run_3568,280,200,1000,6.00E-05,4
3544,Run_3544,280,180,1400,6.00E-05,20,1884,Run_1884,200,40,1200,1.00E-04,32,2487,Run_2487,220,200,1000,4.00E-05,6
2754,Run_2754,240,140,1400,1.00E-04,18,1056,Run_1056,140,200,1200,1.00E-04,34,3211,Run_3211,260,200,1200,1.00E-05,7
3038,Run_3038,260,100,1400,2.00E-05,18,2372,Run_2372,220,120,2000,2.00E-05,35,3210,Run_3210,260,200,1000,1.00E-04,4
3229,Run_3229,260,200,1800,1.00E-05,18,1954,Run_1954,200,100,1200,6.00E-05,33,3218,Run_3218,260,200,1400,2.00E-05,10
2747,Run_2747,240,140,1200,8.00E-05,14,3790,Run_3790,300,120,1200,6.00E-05,40,3169,Run_3169,260,180,1000,1.00E-05,6
2452,Run_2452,220,180,1000,6.00E-05,11,2124,Run_2124,200,180,2000,1.00E-04,37,3215,Run_3215,260,200,1200,8.00E-05,7
1050,Run_1050,140,200,1000,1.00E-04,17,1566,Run_1566,180,80,1400,1.00E-04,40,3461,Run_3461,280,140,1000,8.00E-05,9
732,Run_732,140,0,1200,1.00E-04,20,2734,Run_2734,240,120,2000,6.00E-05,31,2814,Run_2814,240,180,1000,1.00E-04,5
3140,Run_3140,260,160,1200,2.00E-05,12,1710,Run_1710,180,160,1400,1.00E-04,40,3222,Run_3222,260,200,1400,1.00E-04,10
2780,Run_2780,240,160,1200,2.00E-05,14,1885,Run_1885,200,40,1400,1.00E-05,39,3530,Run_3530,280,180,1000,2.00E-05,6
2891,Run_2891,260,0,1200,8.00E-05,14,1917,Run_1917,200,80,1200,4.00E-05,34,2845,Run_2845,240,200,1000,1.00E-05,4
3634,Run_3634,300,0,2000,6.00E-05,20,1973,Run_1973,200,100,1800,8.00E-05,40,3565,Run_3565,280,200,1000,1.00E-05,4
743,Run_743,140,0,1600,8.00E-05,24,1412,Run_1412,160,200,1200,2.00E-05,32,3030,Run_3030,260,100,1000,1.00E-04,8
2586,Run_2586,240,20,1800,1.00E-04,24,1560,Run_1560,180,80,1200,1.00E-04,35,3101,Run_3101,260,140,1000,8.00E-05,10
2877,Run_2877,240,200,2000,4.00E-05,25,2659,Run_2659,240,80,2000,1.00E-05,32,3575,Run_3575,280,200,1200,8.00E-05,7
2364,Run_2364,220,120,1600,1.00E-04,26,1988,Run_1988,200,120,1200,2.00E-05,35,3028,Run_3028,260,100,1000,6.00E-05,10
740,Run_740,140,0,1600,2.00E-05,22,1780,Run_1780,180,200,1400,6.00E-05,36,3536,Run_3536,280,180,1200,2.00E-05,10
3709,Run_3709,300,80,1000,1.00E-05,21,1506,Run_1506,180,20,1800,1.00E-04,38,3179,Run_3179,260,180,1200,8.00E-05,8
2683,Run_2683,240,100,1600,1.00E-05,26,1500,Run_1500,180,20,1600,1.00E-04,34,2848,Run_2848,240,200,1000,6.00E-05,4
3308,Run_3308,280,20,2000,2.00E-05,23,1588,Run_1588,180,100,1000,6.00E-05,34,2490,Run_2490,220,200,1000,1.00E-04,5
1732,Run_1732,180,180,1000,6.00E-05,28,2149,Run_2149,200,200,1800,1.00E-05,35,2742,Run_2742,240,140,1000,1.00E-04,9
2384,Run_2384,220,140,1200,2.00E-05,22,325,Run_325,100,200,1000,1.00E-05,31,2853,Run_2853,240,200,1200,4.00E-05,8
741,Run_741,140,0,1600,4.00E-05,22,829,Run_829,140,80,1000,1.00E-05,36,3574,Run_3574,280,200,1200,6.00E-05,8
2736,Run_2736,240,120,2000,1.00E-04,28,1779,Run_1779,180,200,1400,4.00E-05,36,3459,Run_3459,280,140,1000,4.00E-05,10
653,Run_653,120,180,1000,8.00E-05,28,328,Run_328,100,200,1000,6.00E-05,35,3175,Run_3175,260,180,1200,1.00E-05,10
3586,Run_3586,280,200,1600,6.00E-05,22,3157,Run_3157,260,160,1800,1.00E-05,34,2809,Run_2809,240,180,1000,1.00E-05,7
1477,Run_1477,180,20,1000,1.00E-05,24,3486,Run_3486,280,140,1800,1.00E-04,38,2774,Run_2774,240,160,1000,2.00E-05,10
2578,Run_2578,240,20,1600,6.00E-05,22,1755,Run_1755,180,180,1800,4.00E-05,49,2855,Run_2855,240,200,1200,8.00E-05,7
383,Run_383,120,0,1600,8.00E-05,24,1794,Run_1794,180,200,1800,1.00E-04,41,3573,Run_3573,280,200,1200,4.00E-05,8
1119,Run_1119,160,20,1000,4.00E-05,24,1649,Run_1649,180,120,1800,8.00E-05,49,2773,Run_2773,240,160,1000,1.00E-05,10
1876,Run_1876,200,40,1000,6.00E-05,29,1239,Run_1239,160,100,1400,4.00E-05,50,2486,Run_2486,220,200,1000,2.00E-05,6
3362,Run_3362,280,80,1400,2.00E-05,22,1644,Run_1644,180,120,1600,1.00E-04,46,2862,Run_2862,240,200,1400,1.00E-04,10
36,Run_36,100,0,2000,1.00E-04,30,1277,Run_1277,160,120,1400,8.00E-05,49,2670,Run_2670,240,100,1000,1.00E-04,10
3719,Run_3719,300,80,1200,8.00E-05,24,1671,Run_1671,180,140,1400,4.00E-05,46,3173,Run_3173,260,180,1000,8.00E-05,6
396,Run_396,120,0,2000,1.00E-04,30,1927,Run_1927,200,80,1600,1.00E-05,43,2852,Run_2852,240,200,1200,2.00E-05,8
40,Run_40,100,20,1000,6.00E-05,22,939,Run_939,140,140,1000,4.00E-05,42,2777,Run_2777,240,160,1000,8.00E-05,8
2432,Run_2432,220,160,1600,2.00E-05,28,1757,Run_1757,180,180,1800,8.00E-05,46,3029,Run_3029,260,100,1000,8.00E-05,10
3589,Run_3589,280,200,1800,1.00E-05,28,1978,Run_1978,200,100,2000,6.00E-05,43,3570,Run_3570,280,200,1000,1.00E-04,3
3855,Run_3855,300,160,1000,4.00E-05,21,1303,Run_1303,160,140,1200,1.00E-05,48,3424,Run_3424,280,120,1000,6.00E-05,10
1874,Run_1874,200,40,1000,2.00E-05,30,1571,Run_1571,180,80,1600,8.00E-05,48,3138,Run_3138,260,160,1000,1.00E-04,6
1945,Run_1945,200,100,1000,1.00E-05,29,3823,Run_3823,300,140,1200,1.00E-05,46,3207,Run_3207,260,200,1000,4.00E-05,4
2973,Run_2973,260,40,1600,4.00E-05,24,3905,Run_3905,300,180,1400,8.00E-05,50,3354,Run_3354,280,80,1000,1.00E-04,10
3636,Run_3636,300,0,2000,1.00E-04,21,2011,Run_2011,200,120,2000,1.00E-05,45,3396,Run_3396,280,100,1200,1.00E-04,10
2097,Run_2097,200,180,1200,4.00E-05,28,3554,Run_3554,280,180,1800,2.00E-05,44,2850,Run_2850,240,200,1000,1.00E-04,3
2942,Run_2942,260,20,1800,2.00E-05,22,2086,Run_2086,200,160,2000,6.00E-05,42,2851,Run_2851,240,200,1200,1.00E-05,8
