Run,RELEASE_ALT,RELEASE_MASS,RunName,Fatalities,MASS_MEAN_DIAMETER,WIND_DIRECTION,Day
6,0,1000,Run_6,16,1.00E-04,100,1
9,0,1200,Run_9,18,4.00E-05,100,1
12,0,1200,Run_12,20,1.00E-04,100,1
13,0,1400,Run_13,20,1.00E-05,100,1
19,0,1600,Run_19,22,1.00E-05,100,1
32,0,2000,Run_32,26,2.00E-05,100,1
33,0,2000,Run_33,27,4.00E-05,100,1
35,0,2000,Run_35,29,8.00E-05,100,1
40,20,1000,Run_40,22,6.00E-05,100,1
74,40,1000,Run_74,32,2.00E-05,100,1
84,40,1200,Run_84,36,1.00E-04,100,1
110,80,1000,Run_110,59,2.00E-05,100,1
365,0,1000,Run_365,16,8.00E-05,120,1
369,0,1200,Run_369,18,4.00E-05,120,1
371,0,1200,Run_371,19,8.00E-05,120,1
382,0,1600,Run_382,24,6.00E-05,120,1
388,0,1800,Run_388,27,6.00E-05,120,1
394,0,2000,Run_394,29,6.00E-05,120,1
395,0,2000,Run_395,30,8.00E-05,120,1
406,20,1200,Run_406,27,6.00E-05,120,1
407,20,1200,Run_407,28,8.00E-05,120,1
425,20,1800,Run_425,37,8.00E-05,120,1
426,20,1800,Run_426,37,1.00E-04,120,1
427,20,2000,Run_427,42,1.00E-05,120,1
429,20,2000,Run_429,41,4.00E-05,120,1
449,40,1400,Run_449,40,8.00E-05,120,1
514,100,1200,Run_514,127,6.00E-05,120,1
527,100,1600,Run_527,318,8.00E-05,120,1
544,120,1000,Run_544,70,6.00E-05,120,1
623,160,1200,Run_623,191,8.00E-05,120,1
687,200,1000,Run_687,20,4.00E-05,120,1
688,200,1000,Run_688,18,6.00E-05,120,1
724,0,1000,Run_724,16,6.00E-05,140,1
730,0,1200,Run_730,19,6.00E-05,140,1
735,0,1400,Run_735,20,4.00E-05,140,1
739,0,1600,Run_739,22,1.00E-05,140,1
742,0,1600,Run_742,23,6.00E-05,140,1
756,0,2000,Run_756,30,1.00E-04,140,1
761,20,1000,Run_761,23,8.00E-05,140,1
773,20,1400,Run_773,30,8.00E-05,140,1
777,20,1600,Run_777,34,4.00E-05,140,1
784,20,1800,Run_784,38,6.00E-05,140,1
793,40,1000,Run_793,34,1.00E-05,140,1
798,40,1000,Run_798,32,1.00E-04,140,1
806,40,1400,Run_806,46,2.00E-05,140,1
820,40,1800,Run_820,58,6.00E-05,140,1
841,80,1400,Run_841,60,1.00E-05,140,1
865,100,1000,Run_865,40,1.00E-05,140,1
904,120,1000,Run_904,40,6.00E-05,140,1
942,140,1000,Run_942,37,1.00E-04,140,1
944,140,1200,Run_944,56,2.00E-05,140,1
975,160,1000,Run_975,38,4.00E-05,140,1
978,160,1000,Run_978,35,1.00E-04,140,1
986,160,1400,Run_986,86,2.00E-05,140,1
1010,180,1000,Run_1010,32,2.00E-05,140,1
1013,180,1000,Run_1013,27,8.00E-05,140,1
1051,200,1200,Run_1051,36,1.00E-05,140,1
1057,200,1400,Run_1057,56,1.00E-05,140,1
1077,200,2000,Run_1077,232,4.00E-05,140,1
1082,0,1000,Run_1082,15,2.00E-05,160,1
1094,0,1400,Run_1094,20,2.00E-05,160,1
1096,0,1400,Run_1096,21,6.00E-05,160,1
1099,0,1600,Run_1099,22,1.00E-05,160,1
1100,0,1600,Run_1100,22,2.00E-05,160,1
1108,0,1800,Run_1108,26,6.00E-05,160,1
1110,0,1800,Run_1110,28,1.00E-04,160,1
1121,20,1000,Run_1121,24,8.00E-05,160,1
1123,20,1200,Run_1123,28,1.00E-05,160,1
1128,20,1200,Run_1128,28,1.00E-04,160,1
1131,20,1400,Run_1131,32,4.00E-05,160,1
1146,20,1800,Run_1146,38,1.00E-04,160,1
1157,40,1000,Run_1157,30,8.00E-05,160,1
1158,40,1000,Run_1158,30,1.00E-04,160,1
1172,40,1600,Run_1172,54,2.00E-05,160,1
1189,80,1000,Run_1189,35,1.00E-05,160,1
1223,80,2000,Run_1223,62,8.00E-05,160,1
1234,100,1200,Run_1234,44,6.00E-05,160,1
1255,100,2000,Run_1255,66,1.00E-05,160,1
1257,100,2000,Run_1257,64,4.00E-05,160,1
1272,120,1200,Run_1272,43,1.00E-04,160,1
1283,120,1600,Run_1283,54,8.00E-05,160,1
1329,140,2000,Run_1329,66,4.00E-05,160,1
1334,160,1000,Run_1334,36,2.00E-05,160,1
1338,160,1000,Run_1338,32,1.00E-04,160,1
1339,160,1200,Run_1339,43,1.00E-05,160,1
1345,160,1400,Run_1345,51,1.00E-05,160,1
1347,160,1400,Run_1347,50,4.00E-05,160,1
1369,180,1000,Run_1369,30,1.00E-05,160,1
1371,180,1000,Run_1371,31,4.00E-05,160,1
1376,180,1200,Run_1376,38,2.00E-05,160,1
1378,180,1200,Run_1378,38,6.00E-05,160,1
1382,180,1400,Run_1382,47,2.00E-05,160,1
